Binance Pair,Currency,Market,Last Update
BTCUSDT,BTC,USDT,
ETHUSDT,ETH,USDT,
XRPUSDT,XRP,USDT,
BNBUSDT,BNB,USDT,
NEOUSDT,NEO,USDT,
LTCUSDT,LTC,USDT,
QTUMUSDT,QTUM,USDT,
ADAUSDT,ADA,USDT,
XRPUSDT,XRP,USDT,
EOSUSDT,EOS,USDT,
TUSDUSDT,TUSD,USDT,
IOTAUSDT,IOTA,USDT,
XLMUSDT,XLM,USDT,
ONTUSDT,ONT,USDT,
TRXUSDT,TRX,USDT,
ETCUSDT,ETC,USDT,
ICXUSDT,ICX,USDT,
NULSUSDT,NULS,USDT,
VETUSDT,VET,USDT,
USDCUSDT,USDC,USDT,
LINKUSDT,LINK,USDT,
WAVESUSDT,WAVES,USDT,
ONGUSDT,ONG,USDT,
HOTUSDT,HOT,USDT,
ZILUSDT,ZIL,USDT,
ZRXUSDT,ZRX,USDT,
FETUSDT,FET,USDT,
BATUSDT,BAT,USDT,
XMRUSDT,XMR,USDT,
ZECUSDT,ZEC,USDT,
IOSTUSDT,IOST,USDT,
CELRUSDT,CELR,USDT,
DASHUSDT,DASH,USDT,
OMGUSDT,OMG,USDT,
THETAUSDT,THETA,USDT,
ENJUSDT,ENJ,USDT,
MATICUSDT,MATIC,USDT,
ATOMUSDT,ATOM,USDT,
TFUELUSDT,TFUEL,USDT,
ONEUSDT,ONE,USDT,
FTMUSDT,FTM,USDT,
ALGOUSDT,ALGO,USDT,
DOGEUSDT,DOGE,USDT,
DUSKUSDT,DUSK,USDT,
ANKRUSDT,ANKR,USDT,
WINUSDT,WIN,USDT,
COSUSDT,COS,USDT,
COCOSUSDT,COCOS,USDT,
MTLUSDT,MTL,USDT,
TOMOUSDT,TOMO,USDT,
PERLUSDT,PERL,USDT,
DENTUSDT,DENT,USDT,
KEYUSDT,KEY,USDT,
DOCKUSDT,DOCK,USDT,
WANUSDT,WAN,USDT,
FUNUSDT,FUN,USDT,
CVCUSDT,CVC,USDT,
CHZUSDT,CHZ,USDT,
BANDUSDT,BAND,USDT,
BUSDUSDT,BUSD,USDT,
XTZUSDT,XTZ,USDT,
RENUSDT,REN,USDT,
RVNUSDT,RVN,USDT,
HBARUSDT,HBAR,USDT,
NKNUSDT,NKN,USDT,
STXUSDT,STX,USDT,
KAVAUSDT,KAVA,USDT,
ARPAUSDT,ARPA,USDT,
IOTXUSDT,IOTX,USDT,
RLCUSDT,RLC,USDT,
CTXCUSDT,CTXC,USDT,
BCHUSDT,BCH,USDT,
TROYUSDT,TROY,USDT,
VITEUSDT,VITE,USDT,
EURUSDT,EUR,USDT,
OGNUSDT,OGN,USDT,
DREPUSDT,DREP,USDT,
WRXUSDT,WRX,USDT,
BTSUSDT,BTS,USDT,
LSKUSDT,LSK,USDT,
BNTUSDT,BNT,USDT,
LTOUSDT,LTO,USDT,
MBLUSDT,MBL,USDT,
COTIUSDT,COTI,USDT,
STPTUSDT,STPT,USDT,
WTCUSDT,WTC,USDT,
DATAUSDT,DATA,USDT,
SOLUSDT,SOL,USDT,
CTSIUSDT,CTSI,USDT,
HIVEUSDT,HIVE,USDT,
CHRUSDT,CHR,USDT,
BTCUPUSDT,BTCUP,USDT,
BTCDOWNUSDT,BTCDOWN,USDT,
ARDRUSDT,ARDR,USDT,
