Binance Pair,Currency,Market,Last Update
BTCUSDT,BTC,USDT,
ETHUSDT,ETH,USDT,
SOLUSDT,SOL,USDT,
XRPUSDT,XRP,USDT,
SUIUSDT,SUI,USDT,
BNBUSDT,BNB,USDT,
DOGEUSDT,DOGE,USDT,
PEPEUSDT,PEPE,USDT,
TIAUSDT,TIA,USDT,
TRUMPUSDT,TRUMP,USDT,
BCHUSDT,BCH,USDT,
LTCUSDT,LTC,USDT,
ADAUSDT,ADA,USDT,
BATUSDT,BAT,USDT,
ETCUSDT,ETC,USDT,
XLMUSDT,XLM,USDT,
ZRXUSDT,ZRX,USDT,
ATOMUSDT,ATOM,USDT,
NEOUSDT,NEO,USDT,
VETUSDT,VET,USDT,
QTUMUSDT,QTUM,USDT,
ONTUSDT,ONT,USDT,
KNCUSDT,KNC,USDT,
VTHOUSDT,VTHO,USDT,
COMPUSDT,COMP,USDT,
MKRUSDT,MKR,USDT,
ONEUSDT,ONE,USDT,
BANDUSDT,BAND,USDT,
STORJUSDT,STORJ,USDT,
UNIUSDT,UNI,USDT,
EGLDUSDT,EGLD,USDT,
PAXGUSDT,PAXG,USDT,
OXTUSDT,OXT,USDT,
ZENUSDT,ZEN,USDT,
FILUSDT,FIL,USDT,
AAVEUSDT,AAVE,USDT,
GRTUSDT,GRT,USDT,
SHIBUSDT,SHIB,USDT,
CRVUSDT,CRV,USDT,
AXSUSDT,AXS,USDT,
AVAXUSDT,AVAX,USDT,
CTSIUSDT,CTSI,USDT,
DOTUSDT,DOT,USDT,
YFIUSDT,YFI,USDT,
1INCHUSDT,1INCH,USDT,
FTMUSDT,FTM,USDT,
USDCUSDT,USDC,USDT,
MATICUSDT,MATIC,USDT,
MANAUSDT,MANA,USDT,
ALGOUSDT,ALGO,USDT,
LINKUSDT,LINK,USDT,
EOSUSDT,EOS,USDT,
ZECUSDT,ZEC,USDT,
ENJUSDT,ENJ,USDT,
NEARUSDT,NEAR,USDT,
OMGUSDT,OMG,USDT,
SUSHIUSDT,SUSHI,USDT,
LRCUSDT,LRC,USDT,
LPTUSDT,LPT,USDT,
NMRUSDT,NMR,USDT,
SLPUSDT,SLP,USDT,
ANTUSDT,ANT,USDT,
CHZUSDT,CHZ,USDT,
OGNUSDT,OGN,USDT,
GALAUSDT,GALA,USDT,
TLMUSDT,TLM,USDT,
SNXUSDT,SNX,USDT,
AUDIOUSDT,AUDIO,USDT,
ENSUSDT,ENS,USDT,
REQUSDT,REQ,USDT,
APEUSDT,APE,USDT,
FLUXUSDT,FLUX,USDT,
COTIUSDT,COTI,USDT,
VOXELUSDT,VOXEL,USDT,
RLCUSDT,RLC,USDT,
BICOUSDT,BICO,USDT,
API3USDT,API3,USDT,
BNTUSDT,BNT,USDT,
IMXUSDT,IMX,USDT,
FLOWUSDT,FLOW,USDT,
GTCUSDT,GTC,USDT,
THETAUSDT,THETA,USDT,
TFUELUSDT,TFUEL,USDT,
OCEANUSDT,OCEAN,USDT,
LAZIOUSDT,LAZIO,USDT,
SANTOSUSDT,SANTOS,USDT,
ALPINEUSDT,ALPINE,USDT,
PORTOUSDT,PORTO,USDT,
RENUSDT,REN,USDT,
CELRUSDT,CELR,USDT,
SKLUSDT,SKL,USDT,
VITEUSDT,VITE,USDT,
WAXPUSDT,WAXP,USDT,
LTOUSDT,LTO,USDT,
FETUSDT,FET,USDT,
BONDUSDT,BOND,USDT,
LOKAUSDT,LOKA,USDT,
ICPUSDT,ICP,USDT,
TUSDT,T,USDT,
OPUSDT,OP,USDT,
ROSEUSDT,ROSE,USDT,
CELOUSDT,CELO,USDT,
KDAUSDT,KDA,USDT,
KSMUSDT,KSM,USDT,
ACHUSDT,ACH,USDT,
DARUSDT,DAR,USDT,
RNDRUSDT,RNDR,USDT,
SYSUSDT,SYS,USDT,
RADUSDT,RAD,USDT,
ILVUSDT,ILV,USDT,
LDOUSDT,LDO,USDT,
RAREUSDT,RARE,USDT,
LSKUSDT,LSK,USDT,
DGBUSDT,DGB,USDT,
REEFUSDT,REEF,USDT,
ALICEUSDT,ALICE,USDT,
FORTHUSDT,FORTH,USDT,
ASTRUSDT,ASTR,USDT,
BTRSTUSDT,BTRST,USDT,
GALUSDT,GAL,USDT,
SANDUSDT,SAND,USDT,
BALUSDT,BAL,USDT,
GLMUSDT,GLM,USDT,
CLVUSDT,CLV,USDT,
TUSDUSDT,TUSD,USDT,
QNTUSDT,QNT,USDT,
STGUSDT,STG,USDT,
AXLUSDT,AXL,USDT,
KAVAUSDT,KAVA,USDT,
APTUSDT,APT,USDT,
MASKUSDT,MASK,USDT,
BOSONUSDT,BOSON,USDT,
PONDUSDT,POND,USDT,
MXCUSDT,MXC,USDT,
JAMUSDT,JAM,USDT,
TRACUSDT,TRAC,USDT,
PROMUSDT,PROM,USDT,
DIAUSDT,DIA,USDT,
LOOMUSDT,LOOM,USDT,
STMXUSDT,STMX,USDT,
POLYXUSDT,POLYX,USDT,
IOSTUSDT,IOST,USDT,
ARBUSDT,ARB,USDT,
FLOKIUSDT,FLOKI,USDT,
XECUSDT,XEC,USDT,
BLURUSDT,BLUR,USDT,
